Constituency,Surname,Firstname,Gender Id,Party Id,Votes
Carlow-Kilkenny,FUNCHION,KATHLEEN,F,Sinn Féin,17493
Carlow-Kilkenny,McGUINNESS,JOHN,M,Fianna Fáil,10558
Carlow-Kilkenny,MURNANE OCONNOR,JENNIFER,F,Fianna Fáil,9351
Carlow-Kilkenny,NOONAN,MALCOLM,M,Green Party/ Comhaontas Glas,4942
Carlow-Kilkenny,PHELAN,JOHN PAUL,M,Fine Gael,6396
Cavan-Monaghan,Carthy,Matt,M,Sinn Féin,16310
Cavan-Monaghan,Humphreys,Heather,F,Fine Gael,12808
Cavan-Monaghan,Smith,Brendan,M,Fianna Fáil,7354
Cavan-Monaghan,Smyth,Niamh,F,Fianna Fáil,5745
Cavan-Monaghan,Tully,Pauline,F,Sinn Féin,10166
Clare,Carey,Joe,M,Fine Gael,5684
Clare,Crowe,Cathal,M,Fianna Fáil,8355
Clare,McNamara,Michael,M,Non-Party,7332
Clare,Wynne,Violet-Anne,F,Sinn Féin,8987
Cork East,Buckley,Pat,M,Sinn Féin,12587
Cork East,O'Connor,James,M,Fianna Fáil,7026
Cork East,Sherlock,Seán,M,The Labour Party,6610
Cork East,Stanton,David,M,Fine Gael,6143
Cork North Central,Barry,Mick,M,Solidarity - People Before Profit,3703
Cork North Central,Burke,Colm,M,Fine Gael,6646
Cork North Central,Gould,Thomas,M,Sinn Féin,13811
Cork North Central,O'Sullivan,Padraig,M,Fianna Fáil,8158
Cork North West,CREED,MICHAEL,M,Fine Gael,8338
Cork North West,MOYNIHAN,AINDRIAS,M,Fianna Fáil,9628
Cork North West,MOYNIHAN,MICHAEL,M,Fianna Fáil,8651
Cork South Central,Coveney,Simon,M,Fine Gael,9327
Cork South Central,Martin,Micheál,M,Fianna Fáil,11023
Cork South Central,McGrath,Michael,M,Fianna Fáil,9236
Cork South Central,Ó Laoghaire,Donnchadh,M,Sinn Féin,14057
Cork South West,Cairns,Holly,F,Social Democrats,4696
Cork South West,Collins,Michael,M,Non-Party,11712
Cork South West,O'Sullivan,Christopher,M,Fianna Fáil,6262
Donegal,Doherty,Pearse,M,Sinn Féin,21044
Donegal,MacLochlainn,Pádraig,M,Sinn Féin,13891
Donegal,McConalogue,Charlie,M,Fianna Fáil,8347
Donegal,McHugh,Joe,M,Fine Gael,7621
Donegal,Pringle,Thomas,M,Non-Party,5472
Dublin Bay North,Bruton,Richard,M,Fine Gael,11156
Dublin Bay North,Haughey,Seán,M,Fianna Fáil,6651
Dublin Bay North,Mitchell,Denise,F,Sinn Féin,21344
Dublin Bay North,O'Callaghan,Cian,M,Social Democrats,6229
Dublin Bay North,Ó'Ríordáin,Aodhán,M,The Labour Party,8127
Dublin Bay South,Andrews,Chris,M,Sinn Féin,6361
Dublin Bay South,Murphy,Eoghan,M,Fine Gael,6346
Dublin Bay South,O'Callaghan,Jim,M,Fianna Fáil,5474
Dublin Bay South,Ryan,Eamonn,M,Green Party/ Comhaontas Glas,8888
Dublin Central,Donohoe,Paschal,M,Fine Gael,4181
Dublin Central,Gannon,Gary,M,Social Democrats,2912
