party,first name,surname,Region,First pref,Count
LAB,Ciarán,AHERN,DUBLIN SOUTH-WEST,8.7,11
FG,William,AIRD,LAOIS,24.2,5
FF,Catherine,ARDAGH,DUBLIN SOUTH-CENTRAL,10.7,14
LAB,Ivana,BACIK,DUBLIN BAY SOUTH,14.3,9
SF,Cathy,BENNETT,CAVAN-MONAGHAN,10,13
FG,Grace,BOLAND,DUBLIN FINGAL WEST,15.2,6
PBP-SOL,Richard,BOYD BARRETT,DÚN LAOGHAIRE,12.2,7
FF,Tom,BRABAZON,DUBLIN BAY NORTH,10.5,14
SF,John,BRADY,WICKLOW,14.8,11
FF,Shay,BRENNAN,DUBLIN RATHDOWN,12.1,10
FG,Brian,BRENNAN,WICKLOW-WEXFORD,23.1,6
FG,Colm,BROPHY,DUBLIN SOUTH-WEST,12.7,7
FF,James,BROWNE,WEXFORD,16.4,11
SF,Pat,BUCKLEY,CORK EAST,12.3,12
FG,Colm,BURKE,CORK NORTH-CENTRAL,9.7,14
FG,Peter,BURKE,LONGFORD-WESTMEATH,17.6,1
FF,Mary,BUTLER,WATERFORD,18.6,10
FG,Paula,BUTTERLY,LOUTH,8.9,20
FG,Jerry,BUTTIMER,CORK SOUTH-CENTRAL,7,18
FF,Thomas,BYRNE,MEATH EAST,12.8,13
FF,Malcolm,BYRNE,WICKLOW-WEXFORD,21.7,6
SF,Joanna,BYRNE,LOUTH,12.8,17
FF,Michael,CAHILL,KERRY,10.5,13
SD,Holly,CAIRNS,CORK SOUTH-WEST,19.9,10
FG,Catherine,CALLAGHAN,CARLOW-KILKENNY,9.7,14
FF,Dara,CALLEARY,MAYO,12.2,8
IND,Seán,CANNEY,GALWAY EAST,18.5,6
FG,Micheál,CARRIGY,LONGFORD-WESTMEATH,11.5,15
FG,Jennifer,CARROLL MacNEILL,DÚN LAOGHAIRE,21,1
SF,Matt,CARTHY,CAVAN-MONAGHAN,13.5,12
FF,Naoise,Ó CEARÚIL,KILDARE NORTH,10.3,12
FF,Jack,CHAMBERS,DUBLIN WEST,21.4,1
SF,Sorca,CLARKE,LONGFORD-WESTMEATH,11.3,13
FF,Peter 'Chap',CLEERE,CARLOW-KILKENNY,10.3,15
FG,John,CLENDENNEN,OFFALY,17.6,7
FF,Niall,COLLINS,LIMERICK COUNTY,20.4,13
II,Michael,COLLINS,CORK SOUTH-WEST,23.3,8
FF,John,CONNOLLY,GALWAY WEST,11.9,14
IND,Catherine,CONNOLLY,GALWAY WEST,11.2,11
SF,Rose,CONWAY-WALSH,MAYO,14.3,6
FG,Joe,COONEY,CLARE,12.4,16
PBP-SOL,Ruth,COPPINGER,DUBLIN WEST,8,13
SF,Réada,CRONIN,KILDARE NORTH,11.9,12
FF,Cathal,CROWE,CLARE,13.6,15
SF,Seán,CROWE,DUBLIN SOUTH-WEST,14.8,6
SF,David,CULLINANE,WATERFORD,22.2,1
FG,John,CUMMINS,WATERFORD,19.3,9
SD,Jen,CUMMINS,DUBLIN SOUTH-CENTRAL,9,15
FG,Emer,CURRIE,DUBLIN WEST,15.4,2
SF,Conor,D. McGUINNESS,WATERFORD,10.8,12
FF,Martin,DALY,ROSCOMMON-GALWAY,17.7,7
SF,Pa,DALY,KERRY,14.8,7
FF,Aisling,DEMPSEY,MEATH WEST,17.3,5
SF,Máire,DEVINE,DUBLIN SOUTH-CENTRAL,10.3,15
FF,Cormac,DEVLIN,DÚN LAOGHAIRE,15.9,7
